Data;SPXI;IBOV;IMAB;IRFM
05/03/2021;231;115202,23;8045,034969;14213,39088
08/03/2021;237,28;110611,58;7996,945972;14149,1232
09/03/2021;239;111330,62;7971,237248;14123,97215
10/03/2021;234;112776,49;7984,052027;14118,41372
11/03/2021;231,88;114983,76;8003,268288;14129,3246
12/03/2021;232,58;114160,4;7981,116161;14105,11643
15/03/2021;237,79;114850,74;7986,041972;14105,88832
16/03/2021;236,2;114018,78;7994,727517;14121,08807
17/03/2021;235,92;116549,44;8001,187114;14121,54998
18/03/2021;231,27;114835,43;7978,456951;14115,42287
19/03/2021;227,5;116221,58;7915,473258;14083,40257
22/03/2021;231,01;114978,86;7886,381546;14059,30971
23/03/2021;229,37;113261,8;7857,890431;14025,30185
24/03/2021;232,79;112064,19;7837,99248;13989,89089
25/03/2021;235,19;113749,9;7854,868148;14010,74689
26/03/2021;241,62;114780,62;7874,724234;14009,26251
29/03/2021;242,03;115418,72;7866,287205;13985,29582
30/03/2021;241,79;116849,67;7881,306083;14028,2158
31/03/2021;237,01;116633,72;7900,167454;14035,3328
01/04/2021;243,87;115253,31;7898,129597;14018,8476
05/04/2021;245,84;117518,44;7888,273373;14026,0501
