SAPR4;ELET6;VIVT3;MGLU3;;;;;;;;;;;;;;;;
 3,62 ; 19,90 ; 32,95 ; 0,73 ;;;;;;;;;;;;;;;;
 3,57 ; 19,78 ; 33,17 ; 0,76 ;;;;;;;;;;;;;;;;
 3,60 ; 19,60 ; 33,49 ; 0,79 ;;;;;;;;;;;;;;;;
 3,46 ; 20,32 ; 33,82 ; 0,83 ;;;;;;;;;;;;;;;;
 3,51 ; 20,70 ; 33,68 ; 0,81 ;;;;;;;;;;;;;;;;
 3,44 ; 22,06 ; 34,98 ; 0,81 ;;;;;;;;;;;;;;;;
 3,43 ; 22,19 ; 34,84 ; 0,82 ;;;;;;;;;;;;;;;;
 3,41 ; 22,20 ; 34,92 ; 0,86 ;;;;;;;;;;;;;;;;
 3,43 ; 22,90 ; 34,94 ; 0,86 ;;;;;;;;;;;;;;;;
 3,47 ; 21,33 ; 35,77 ; 0,89 ;;;;;;;;;;;;;;;;
 3,47 ; 21,00 ; 35,56 ; 0,89 ;;;;;;;;;;;;;;;;
 3,42 ; 20,18 ; 34,00 ; 0,88 ;;;;;;;;;;;;;;;;
 3,43 ; 19,94 ; 35,38 ; 1,00 ;;;;;;;;;;;;;;;;
 3,47 ; 19,05 ; 35,42 ; 1,02 ;;;;;;;;;;;;;;;;
 3,52 ; 19,32 ; 34,84 ; 1,05 ;;;;;;;;;;;;;;;;
 3,58 ; 19,67 ; 35,77 ; 1,08 ;;;;;;;;;;;;;;;;
 3,62 ; 20,92 ; 35,65 ; 1,02 ;;;;;;;;;;;;;;;;
 3,59 ; 21,24 ; 36,54 ; 1,03 ;;;;;;;;;;;;;;;;
 3,59 ; 21,21 ; 36,29 ; 1,06 ;;;;;;;;;;;;;;;;
 3,60 ; 20,36 ; 36,09 ; 1,09 ;;;;;;;;;;;;;;;;
 3,67 ; 19,75 ; 34,98 ; 1,09 ;;;;;;;;;;;;;;;;
 3,28 ; 16,40 ; 33,97 ; 0,91 ;;;;;;;;;;;;;;;;
 3,43 ; 16,30 ; 35,88 ; 0,96 ;;;;;;;;;;;;;;;;
 3,33 ; 15,75 ; 34,99 ; 0,86 ;;;;;;;;;;;;;;;;
 3,33 ; 16,35 ; 34,55 ; 0,94 ;;;;;;;;;;;;;;;;
 3,41 ; 17,63 ; 34,84 ; 0,97 ;;;;;;;;;;;;;;;;
